transaction_id,user_id,age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label
TXN00003,U00003,31,Other,6.06,1.36,3.83,2.35,4.92,44,106,8.68,High,No,Mild,0
TXN00004,U00004,32,Other,7.83,5.85,1.51,3.54,8.23,178,107,9.77,High,Yes,Moderate,1
TXN00005,U00005,25,Male,9.96,5.92,3.42,5.27,6.21,136,177,12.55,Low,No,Severe,1
TXN00006,U00006,26,Male,9.32,4.26,0.29,3.99,6.9,82,56,10.98,Medium,Yes,Severe,1
TXN00007,U00007,25,Male,10.4,4.93,1.6,0.86,8.61,165,95,11.43,Medium,No,Severe,1
TXN00008,U00008,26,Male,4.26,4.6,2.16,4.61,6.43,169,117,5.66,Low,No,Moderate,1
TXN00010,U00010,35,Other,9.76,4.73,1.36,2.11,5.21,20,82,12.69,Low,Yes,Severe,1
TXN00011,U00011,34,Female,8.48,1.34,3.05,3.47,8.0,155,15,10.48,Medium,Yes,Moderate,1
TXN00013,U00013,33,Other,11.52,1.41,2.11,3.84,8.84,158,66,13.8,Medium,No,Severe,1
TXN00015,U00015,19,Male,10.74,0.89,0.95,4.18,5.46,53,161,12.68,Low,No,Severe,1
TXN00018,U00018,35,Female,10.52,5.83,3.71,5.17,5.25,144,138,11.55,Medium,Yes,Moderate,1
TXN00019,U00019,18,Female,11.87,1.96,3.14,3.0,6.4,207,157,14.02,Medium,Yes,Moderate,1
TXN00020,U00020,24,Other,11.72,3.69,2.17,4.61,4.76,169,137,13.48,High,Yes,Moderate,1
TXN00021,U00021,20,Female,10.66,0.88,0.27,5.24,6.32,247,160,11.78,High,Yes,Moderate,1
TXN00023,U00023,21,Other,3.66,1.67,1.06,5.63,8.46,245,77,5.08,Low,No,Mild,0
TXN00024,U00024,34,Female,3.07,4.99,1.2,4.15,8.73,54,82,3.86,Low,Yes,Severe,1
TXN00025,U00025,24,Male,9.46,1.62,2.54,1.95,6.7,236,28,10.19,Medium,No,Moderate,1
TXN00026,U00026,28,Female,9.94,4.0,1.05,4.58,6.98,129,158,10.46,Low,Yes,Moderate,1
TXN00028,U00028,35,Male,10.96,2.74,2.48,1.35,8.68,241,56,13.9,Low,No,Moderate,1
TXN00029,U00029,28,Male,10.04,2.76,2.68,4.54,5.62,60,42,11.5,Low,No,Moderate,1
TXN00030,U00030,32,Other,6.15,5.01,3.49,1.73,7.47,122,99,7.35,Low,No,Severe,1
TXN00031,U00031,34,Other,6.6,5.9,2.14,5.67,5.02,86,60,8.55,Medium,Yes,Moderate,1
TXN00032,U00032,31,Other,6.11,4.83,1.75,5.91,5.02,250,162,7.09,Low,No,Moderate,1
TXN00033,U00033,35,Other,9.18,5.67,2.95,1.58,6.44,190,99,11.24,High,Yes,Severe,1
TXN00034,U00034,27,Other,9.0,2.29,2.79,3.55,5.36,190,112,11.19,Low,No,Severe,1
TXN00036,U00036,20,Male,5.55,4.15,2.48,1.01,8.78,80,94,6.61,Low,Yes,Moderate,1
